equipo,valor_nomina_millones_eur
Atlético Nacional,35.45
Millonarios FC,29.925
CD América de Cali,28.425
Junior de Barranquilla,23.45
Independiente Medellín,21.25
Independiente Santa Fe,16.175
Deportivo Cali,15.25
Águilas Doradas,15.235
Internacional de Bogotá,14.91
Deportes Tolima,14.825
Once Caldas,13.9
Atlético Bucaramanga,12.85
Deportivo Pereira,11.65
Llaneros FC,10.41
Unión Magdalena,10.275
Asociación Deportivo Pasto,9.975
Alianza FC,9.885
Envigado FC,8.025
Boyacá Chicó FC,7.475
Fortaleza CEIF,7.06
