equipo,jugador,valor_millones_eur
Atlético Nacional,David Ospina,2.5
Atlético Nacional,Harlen Castillo,0.5
Atlético Nacional,Luis Marquinez,0.45
Atlético Nacional,Edimer Zea,0.0
Atlético Nacional,César Haydar,1.0
Atlético Nacional,Juan Felipe Aguirre,0.9
Atlético Nacional,William Tesillo,0.9
Atlético Nacional,Juan Jose Arias,0.35
Atlético Nacional,Simón García,0.0
Atlético Nacional,Royer Caicedo,0.0
Atlético Nacional,Camilo Cándido,1.5
Atlético Nacional,Andrés Salazar,0.55
Atlético Nacional,Andrés Felipe Román,1.5
Atlético Nacional,Joan Castro,0.7
Atlético Nacional,Cristian Uribe,0.0
Atlético Nacional,Matheus Uribe,5.0
Atlético Nacional,Jorman Campuzano,1.3
Atlético Nacional,Sebastián Guzmán,0.3
Atlético Nacional,Xavy Ríos,0.0
Atlético Nacional,Kilian Toscano,0.0
Atlético Nacional,Elkin Rivero,0.0
Atlético Nacional,Juan Zapata,1.5
Atlético Nacional,Luis Miguel Landázuri,0.0
Atlético Nacional,Felipe Marín,0.0
Atlético Nacional,Edwin Cardona,1.0
Atlético Nacional,Juan Bauzá,1.0
Atlético Nacional,Juan Torres,0.85
Atlético Nacional,Juan David Obando,0.0
Atlético Nacional,Juan Rengifo,0.0
Atlético Nacional,Marlos Moreno,1.0
Atlético Nacional,Andrés Sarmiento,0.85
Atlético Nacional,Billy Arce,0.7
Atlético Nacional,Kevin Parra,0.2
Atlético Nacional,Andy Batioja,0.0
Atlético Nacional,Dairon Asprilla,1.5
Atlético Nacional,Marino Hinestroza,1.0
Atlético Nacional,Faber Gil,0.55
Atlético Nacional,Yair Mena,0.05
Atlético Nacional,Juan Rosa,0.0
Atlético Nacional,Alfredo Morelos,5.5
Atlético Nacional,Facundo Batista,2.0
Atlético Nacional,Kevin Viveros,0.3
Millonarios FC,Álvaro Montero,2.6
Millonarios FC,Iván Arboleda,1.0
Millonarios FC,Guillermo de Amores,0.7
Millonarios FC,Diego Novoa,0.25
Millonarios FC,Cristian Quiñones,0.0
Millonarios FC,Iván Díaz,0.0
Millonarios FC,Andrés Llinás,2.6
Millonarios FC,Juan Pablo Vargas,2.0
Millonarios FC,Jorge Arias,0.65
Millonarios FC,Sergio Mosquera,0.55
Millonarios FC,Alex Moreno,0.25
Millonarios FC,Cristian Uparela,0.0
Millonarios FC,Danovis Banguero,0.5
Millonarios FC,Nicolás Giraldo,0.35
Millonarios FC,Jhoan Hernández,0.0
Millonarios FC,Helibelton Palacios,1.0
Millonarios FC,Delvin Alfonzo,0.65
Millonarios FC,Sander Navarro,0.45
Millonarios FC,Carlos Sarabia,0.0
Millonarios FC,Samuel Martín,0.0
Millonarios FC,Stiven Vega,0.8
Millonarios FC,Nicolás Arévalo,0.2
Millonarios FC,Bayron García,0.0
Millonarios FC,Juan Carlos Pereira,0.6
Millonarios FC,Felix Charrupí,0.25
Millonarios FC,Dewar Victoria,0.2
Millonarios FC,Sebastián Viveros,0.0
Millonarios FC,Daniel Cataño,0.9
Millonarios FC,Bruno Sávio,0.6
Millonarios FC,David Silva,0.45
Millonarios FC,Juan Ramirez,0.075
Millonarios FC,Santiago Castrillón,0.0
Millonarios FC,Daniel Ruiz,3.5
Millonarios FC,Daniel Mantilla,1.0
Millonarios FC,Beckham Castro,0.85
Millonarios FC,Álex Castro,0.7
Millonarios FC,Edwin Mosquera,0.4
Millonarios FC,Kevin Palacios,0.15
Millonarios FC,Neymar Sánchez,0.05
Millonarios FC,Sebastián Mosquera,0.0
Millonarios FC,Jhon Córdoba,0.55
Millonarios FC,Cristián Cañozales,0.45
Millonarios FC,Radamel Falcao,1.2
Millonarios FC,Leonardo Castro,1.0
Millonarios FC,Santiago Giordana,1.0
Millonarios FC,Jorge Hurtado,0.7
Millonarios FC,Jader Valencia,0.45
Millonarios FC,Juan Carvajal,0.2
Millonarios FC,Ramiro Brochero,0.1
Millonarios FC,Bryan Cuero,0.0
Millonarios FC,Brayan Cuero,0.0
Millonarios FC,Luis Marimón,0.0
Millonarios FC,Néiser Villarreal,0.0
CD América de Cali,Jorge Soto,0.7
CD América de Cali,Santiago Silva,0.7
CD América de Cali,Joel Graterol,0.5
CD América de Cali,David Quintero,0.05
CD América de Cali,Alexis Sinisterra,0.0
CD América de Cali,Andrés Mosquera,1.3
CD América de Cali,Nicolás Hernández,0.8
CD América de Cali,Cristian Tovar,0.8
CD América de Cali,Jean Carlos Pestaña,0.65
CD América de Cali,Brayan Medina,0.25
CD América de Cali,Daniel Bocanegra,0.05
CD América de Cali,Sebastián Quiñones,0.0
CD América de Cali,Manuel Caicedo,0.0
CD América de Cali,Omar Bertel,0.9
CD América de Cali,Marcos Mina,0.5
CD América de Cali,Yerson Candelo,0.9
CD América de Cali,Esneyder Mena,0.5
CD América de Cali,Brayan Correa,0.0
CD América de Cali,Víctor Barona,0.0
CD América de Cali,Mateo Castillo,0.0
CD América de Cali,Éder Balanta,1.5
CD América de Cali,Josen Escobar,0.85
