equipo,jugador,valor_millones_eur
Águilas Doradas,Emanuel Luca,0.0
Águilas Doradas,Yanal Bazdog,0.0
Águilas Doradas,Yuval Holckener,0.0
Águilas Doradas,Shai Vacsman,0.0
Águilas Doradas,Tal Burko,0.0
Águilas Doradas,Idan Tairi,0.0
Águilas Doradas,Tamir Bar,0.0
Águilas Doradas,Sahar Lavi,0.0
Águilas Doradas,Tomer Peleg,0.0
Águilas Doradas,Itay Kerem,0.0
Águilas Doradas,Daniel Ben Shushan,0.0
Águilas Doradas,Noam Goldenberg,0.0
Águilas Doradas,Daniel Dudi,0.0
Águilas Doradas,Dor Goldstein,0.0
Águilas Doradas,Noam Nuna,0.0
Águilas Doradas,Omer Kanchiorek,0.0
Águilas Doradas,Ido Yosef,0.0
Águilas Doradas,Amit Newton,0.0
Águilas Doradas,Fuad Ganayem,0.0
Águilas Doradas,Ben Dajani,0.0
Águilas Doradas,Ido Berko,0.0
Águilas Doradas,Harel Bechor,0.0
Águilas Doradas,Yagel Tarshish,0.0
Águilas Doradas,Idan Dadia,0.0
Águilas Doradas,Noam Shmuel,0.0
Águilas Doradas,Yarin Abuhatzera,0.0
Águilas Doradas,Ben Zuares,0.0
Águilas Doradas,Adam Grimberg,0.0
Águilas Doradas,Liam Luski,0.0
Águilas Doradas,Erez Didi,0.0
Águilas Doradas,Noam Azran,0.0
Águilas Doradas,Shalev Janah,0.0
